,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
34,35,Don MacLean,"Nov 6, '92, WSB @ CHH",23,1,62,674,157,361,3,6,90,111,33,122,39,11,4,42,82,407,0.435,0.5,0.811,10.9,6.6,2.0,0.6,1993
35,36,Marlon Maxey,"Dec 3, '92, MIN @ UTA",23,1,43,520,93,169,0,1,45,70,66,164,12,11,18,38,75,231,0.55,0.0,0.643,12.1,5.4,3.8,0.3,1993
36,37,Lee Mayberry,"Nov 6, '92, MIL @ DET",22,1,82,1503,171,375,43,110,39,68,26,118,273,59,7,85,148,424,0.456,0.391,0.574,18.3,5.2,1.4,3.3,1993
37,38,Oliver Miller,"Nov 7, '92, PHO vs. LAC",22,1,56,1069,121,255,0,3,71,100,70,275,118,38,100,108,145,313,0.475,0.0,0.71,19.1,5.6,4.9,2.1,1993
38,39,Harold Miner,"Nov 7, '92, MIA vs. NJN",21,1,73,1383,292,615,3,9,163,214,74,147,73,34,8,92,130,750,0.475,0.333,0.762,18.9,10.3,2.0,1.0,1993
39,40,Isaiah Morris,"Nov 14, '92, DET vs. IND",23,1,25,102,26,57,0,0,3,4,6,12,4,3,1,8,14,55,0.456,,0.75,4.1,2.2,0.5,0.2,1993
40,41,Alonzo Mourning*,"Nov 13, '92, CHH @ IND",22,1,78,2644,572,1119,0,3,495,634,263,805,76,27,271,236,286,1639,0.511,0.0,0.781,33.9,21.0,10.3,1.0,1993
41,42,Tracy Murray,"Nov 8, '92, POR vs. DEN",21,1,48,495,108,260,21,70,35,40,40,83,11,8,5,31,59,272,0.415,0.3,0.875,10.3,5.7,1.7,0.2,1993
42,43,Melvin Newbern,"Jan 21, '93, DET @ HOU",25,1,33,311,42,113,1,8,34,60,19,37,57,23,1,32,42,119,0.372,0.125,0.567,9.4,3.6,1.1,1.7,1993
43,44,Shaquille O'Neal*,"Nov 6, '92, ORL vs. MIA",20,1,81,3071,733,1304,0,2,427,721,342,1122,152,60,286,307,321,1893,0.562,0.0,0.592,37.9,23.4,13.9,1.9,1993
44,45,Matt Othick,"Nov 7, '92, SAS @ DEN",23,1,4,39,3,5,2,4,0,2,1,2,7,1,0,4,7,8,0.6,0.5,0.0,9.8,2.0,0.5,1.8,1993
45,46,Doug Overton,"Nov 15, '92, WSB @ NJN",23,1,45,990,152,323,3,13,59,81,25,106,157,31,6,72,81,366,0.471,0.231,0.728,22.0,8.1,2.4,3.5,1993
46,47,Anthony Peeler,"Nov 6, '92, LAL @ LAC",23,1,77,1656,297,634,46,118,162,206,64,179,166,60,14,123,193,802,0.468,0.39,0.786,21.5,10.4,2.3,2.2,1993
47,48,Brent Price,"Nov 6, '92, WSB @ CHH",24,1,68,859,100,279,8,48,54,68,28,103,154,56,3,85,90,262,0.358,0.167,0.794,12.6,3.9,1.5,2.3,1993
48,49,Anthony Pullard,"Nov 7, '92, MIL vs. BOS",26,1,8,37,8,18,0,0,1,3,2,8,2,2,2,5,5,17,0.444,,0.333,4.6,2.1,1.0,0.3,1993
49,50,Sean Rooks,"Nov 7, '92, DAL vs. UTA",23,1,72,2087,368,747,0,2,234,389,196,536,95,38,81,160,204,970,0.493,0.0,0.602,29.0,13.5,7.4,1.3,1993
