Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year,BR ID
Tony Bennett,"Nov 6, '92, CHH vs. WSB",23,1,75,857,110,260,26,80,30,41,12,63,136,30,0,50,110,276,0.423,0.325,0.732,11.4,3.7,0.8,1.8,1993,benneto01
Alex Blackwell,"Nov 13, '92, LAL vs. LAC",22,1,27,109,14,42,0,3,6,8,10,23,7,4,2,5,14,34,0.333,0.0,0.75,4.0,1.3,0.9,0.3,1993,blackal01
Ricky Blanton,"Feb 15, '93, CHI vs. SAC",26,1,2,13,3,7,0,0,0,0,2,3,1,2,0,1,1,6,0.429,,,6.5,3.0,1.5,0.5,1993,blantri01
Walter Bond,"Nov 7, '92, DAL vs. UTA",23,1,74,1578,227,565,7,42,129,167,52,196,122,75,18,112,223,590,0.402,0.167,0.772,21.3,8.0,2.6,1.6,1993,bondwa01
Dexter Cambridge,"Jan 7, '93, DAL vs. PHO",23,1,53,885,151,312,0,4,68,99,88,167,58,24,6,63,128,370,0.484,0.0,0.687,16.7,7.0,3.2,1.1,1993,cambrde01
Doug Christie,"Mar 12, '93, LAL @ PHI",22,1,23,332,45,106,2,12,50,66,24,51,53,22,5,50,53,142,0.425,0.167,0.758,14.4,6.2,2.2,2.3,1993,chrisdo01
Duane Cooper,"Nov 6, '92, LAL @ LAC",23,1,65,645,62,158,7,30,25,35,13,50,150,18,2,69,66,156,0.392,0.233,0.714,9.9,2.4,0.8,2.3,1993,coopedu01
Joe Courtney,"Jan 12, '93, CHI @ ORL",23,1,12,104,13,32,0,0,7,9,4,19,3,5,5,6,17,33,0.406,,0.778,8.7,2.8,1.6,0.3,1993,courtjo01
John Crotty,"Nov 6, '92, UTA vs. GSW",23,1,40,243,37,72,2,14,26,38,4,17,55,11,0,30,29,102,0.514,0.143,0.684,6.1,2.6,0.4,1.4,1993,crottjo01
Radisav Ćurčić,"Dec 18, '92, DAL @ SAS",27,1,20,166,16,41,0,0,26,36,17,49,12,7,2,8,30,58,0.39,,0.722,8.3,2.9,2.5,0.6,1993,curcira01
Lloyd Daniels,"Nov 6, '92, SAS @ SAC",25,1,77,1573,285,644,59,177,72,99,86,216,148,38,30,102,144,701,0.443,0.333,0.727,20.4,9.1,2.8,1.9,1993,daniell01
Hubert Davis,"Nov 7, '92, NYK vs. PHI",22,1,50,815,110,251,6,19,43,54,13,56,83,22,4,45,71,269,0.438,0.316,0.796,16.3,5.4,1.1,1.7,1993,davishu01
Todd Day,"Nov 6, '92, MIL @ DET",23,1,71,1931,358,828,54,184,213,297,144,291,117,75,48,118,222,983,0.432,0.293,0.717,27.2,13.8,4.1,1.6,1993,dayto01
Richard Dumas,"Dec 18, '92, PHO @ LAL",23,1,48,1320,302,576,1,3,152,215,100,223,60,85,39,92,127,757,0.524,0.333,0.707,27.5,15.8,4.6,1.3,1993,dumasri02
Pat Durham,"Mar 16, '93, GSW vs. BOS",25,1,5,78,6,25,0,0,9,12,5,14,4,1,1,7,6,21,0.24,,0.75,15.6,4.2,2.8,0.8,1993,durhapa01
LaPhonso Ellis,"Nov 7, '92, DEN vs. SAS",22,1,82,2749,483,958,2,13,237,317,274,744,151,72,111,153,293,1205,0.504,0.154,0.748,33.5,14.7,9.1,1.8,1993,ellisla01
Jo Jo English,"Dec 2, '92, CHI @ BOS",22,1,6,31,3,10,0,3,0,2,2,6,1,3,2,4,5,6,0.3,0.0,0.0,5.2,1.0,1.0,0.2,1993,englijo01
Matt Geiger,"Nov 24, '92, MIA @ IND",23,1,48,554,76,145,0,4,62,92,46,120,14,15,18,36,123,214,0.524,0.0,0.674,11.5,4.5,2.5,0.3,1993,geigema01
Litterial Green,"Nov 12, '92, ORL vs. WSB",22,1,52,626,87,198,1,10,60,96,11,34,116,23,4,42,70,235,0.439,0.1,0.625,12.0,4.5,0.7,2.2,1993,greenli01
Tom Gugliotta,"Nov 6, '92, WSB @ CHH",23,1,81,2795,484,1135,38,135,181,281,219,781,306,134,35,230,195,1187,0.426,0.281,0.644,34.5,14.7,9.6,3.8,1993,guglito01
Jay Guidinger,"Nov 19, '92, CLE @ HOU",23,1,32,215,19,55,0,0,13,25,26,64,17,9,10,10,48,51,0.345,,0.52,6.7,1.6,2.0,0.5,1993,guidija01
Robert Horry,"Nov 6, '92, HOU vs. SEA",22,1,79,2330,323,682,12,47,143,200,113,392,191,80,83,156,210,801,0.474,0.255,0.715,29.5,10.1,5.0,2.4,1993,horryro01
Byron Houston,"Nov 6, '92, GSW @ UTA",23,1,79,1274,145,325,2,7,129,194,119,315,69,44,43,87,253,421,0.446,0.286,0.665,16.1,5.3,4.0,0.9,1993,houstby01
Stephen Howard,"Nov 6, '92, UTA vs. GSW",22,1,49,260,35,93,0,0,34,53,26,60,10,15,12,23,58,104,0.376,,0.642,5.3,2.1,1.2,0.2,1993,howarst01
Jim Jackson,"Mar 5, '93, DAL vs. HOU",22,1,28,938,184,466,21,73,68,92,42,122,131,40,11,115,80,457,0.395,0.288,0.739,33.5,16.3,4.4,4.7,1993,jacksji01
Keith Jennings,"Nov 6, '92, GSW @ UTA",24,1,8,136,25,42,5,9,14,18,2,11,23,4,0,7,18,69,0.595,0.556,0.778,17.0,8.6,1.4,2.9,1993,jennike01
Dave Johnson,"Nov 8, '92, POR vs. DEN",22,1,42,356,57,149,3,14,40,59,18,48,13,8,1,28,23,157,0.383,0.214,0.678,8.5,3.7,1.1,0.3,1993,johnsda01
Thomas Jordan,"Apr 20, '93, PHI @ CHI",24,1,4,106,18,41,0,0,8,17,5,19,3,3,5,12,14,44,0.439,,0.471,26.5,11.0,4.8,0.8,1993,jordath01
Adam Keefe,"Nov 6, '92, ATL vs. NYK",22,1,82,1549,188,376,0,1,166,237,171,432,80,57,16,100,195,542,0.5,0.0,0.7,18.9,6.6,5.3,1.0,1993,keefead01
Christian Laettner,"Nov 6, '92, MIN @ BOS",23,1,81,2823,503,1061,4,40,462,553,171,708,223,105,83,275,290,1472,0.474,0.1,0.835,34.9,18.2,8.7,2.8,1993,laettch01
Sam Mack,"Nov 7, '92, SAS @ DEN",22,1,40,267,47,118,3,22,45,58,18,48,15,14,5,22,44,142,0.398,0.136,0.776,6.7,3.6,1.2,0.4,1993,macksa01
Don MacLean,"Nov 6, '92, WSB @ CHH",23,1,62,674,157,361,3,6,90,111,33,122,39,11,4,42,82,407,0.435,0.5,0.811,10.9,6.6,2.0,0.6,1993,macledo01
