Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year,BR ID
Leandro Barbosa,"Nov 12, '03, PHO vs. ATL",21,1,70,1500,210,470,83,210,47,61,23,123,165,93,7,120,184,550,0.447,0.395,0.77,21.4,7.9,1.8,2.4,2004,barbole01
Matt Barnes,"Jan 19, '04, LAC vs. SAC",23,1,38,724,63,138,2,13,43,61,53,151,48,27,3,44,76,171,0.457,0.154,0.705,19.1,4.5,4.0,1.3,2004,barnema02
Jerome Beasley,"Oct 29, '03, MIA @ BOS",23,1,2,5,1,3,0,0,0,0,0,1,0,0,0,0,0,2,0.333,,,2.5,1.0,0.5,0.0,2004,beaslje01
Troy Bell,"Dec 13, '03, MEM vs. NJN",23,1,6,34,4,18,0,4,3,3,3,4,4,1,0,6,6,11,0.222,0.0,1.0,5.7,1.8,0.7,0.7,2004,belltr01
Steve Blake,"Oct 29, '03, WAS @ CHI",23,1,75,1392,157,407,75,202,55,67,18,117,209,57,7,128,100,444,0.386,0.371,0.821,18.6,5.9,1.6,2.8,2004,blakest01
Keith Bogans,"Nov 7, '03, ORL vs. MIN",23,1,73,1787,183,454,67,187,65,103,106,317,98,46,10,75,128,498,0.403,0.358,0.631,24.5,6.8,4.3,1.3,2004,boganke01
Curtis Borchardt,"Nov 8, '03, UTA vs. MEM",23,1,16,258,22,56,0,1,14,18,13,54,15,4,14,18,40,58,0.393,0.0,0.778,16.1,3.6,3.4,0.9,2004,borchcu01
Chris Bosh*,"Oct 29, '03, TOR vs. NJN",19,1,75,2510,327,712,5,14,202,288,191,557,78,59,106,107,215,861,0.459,0.357,0.701,33.5,11.5,7.4,1.0,2004,boshch01
Torraye Braggs,"Oct 30, '03, HOU vs. DEN",27,1,15,154,16,33,0,0,8,12,18,39,7,4,2,13,29,40,0.485,,0.667,10.3,2.7,2.6,0.5,2004,braggto01
Žarko Čabarkapa,"Oct 28, '03, PHO @ SAS",22,1,49,570,81,197,6,32,35,53,26,99,40,10,13,54,75,203,0.411,0.188,0.66,11.6,4.1,2.0,0.8,2004,cabarza01
Matt Carroll,"Nov 7, '03, POR @ SEA",23,1,16,70,7,16,1,3,4,6,1,6,2,1,0,6,8,19,0.438,0.333,0.667,4.4,1.2,0.4,0.1,2004,carroma01
Maurice Carter,"Feb 2, '04, LAL @ IND",27,1,10,110,11,35,4,11,16,20,2,11,4,0,0,9,10,42,0.314,0.364,0.8,11.0,4.2,1.1,0.4,2004,cartema01
Brian Cook,"Dec 28, '03, LAL vs. BOS",23,1,35,442,67,141,0,5,21,28,31,101,20,16,16,17,64,155,0.475,0.0,0.75,12.6,4.4,2.9,0.6,2004,cookbr01
Omar Cook,"Feb 4, '04, POR @ PHO",22,1,17,139,7,27,0,1,0,0,3,6,24,10,0,10,14,14,0.259,0.0,,8.2,0.8,0.4,1.4,2004,cookom01
Marquis Daniels,"Oct 28, '03, DAL @ LAL",23,1,56,1039,203,411,11,36,60,78,66,146,116,53,12,44,51,477,0.494,0.306,0.769,18.6,8.5,2.6,2.1,2004,daniema01
Josh Davis,"Mar 10, '04, ATL @ MIL",23,1,4,23,2,5,0,2,1,1,1,5,0,0,0,2,3,5,0.4,0.0,1.0,5.8,1.3,1.3,0.0,2004,davisjo02
Boris Diaw,"Oct 29, '03, ATL @ NOH",21,1,76,1919,140,313,6,26,56,93,111,342,182,59,37,126,191,342,0.447,0.231,0.602,25.3,4.5,4.5,2.4,2004,diawbo01
Kaniel Dickens,"Dec 20, '03, POR vs. SAS",25,1,3,12,3,3,0,0,1,2,2,2,0,0,0,1,3,7,1.0,,0.5,4.0,2.3,0.7,0.0,2004,dickeka01
Ronald Dupree,"Jan 7, '04, CHI @ MIA",23,1,47,893,111,282,4,9,66,105,55,167,55,32,18,51,134,292,0.394,0.444,0.629,19.0,6.2,3.6,1.2,2004,duprero01
Ndudi Ebi,"Nov 1, '03, MIN vs. TOR",19,1,17,32,6,14,0,0,1,4,2,3,3,0,4,3,6,13,0.429,,0.25,1.9,0.8,0.2,0.2,2004,ebind01
Francisco Elson,"Oct 29, '03, DEN vs. SAS",27,1,62,875,94,199,0,1,30,45,65,203,32,35,39,35,145,218,0.472,0.0,0.667,14.1,3.5,3.3,0.5,2004,elsonfr01
Desmond Ferguson,"Mar 31, '04, POR @ BOS",26,1,7,32,5,12,3,8,0,2,0,4,1,0,0,1,0,13,0.417,0.375,0.0,4.6,1.9,0.6,0.1,2004,fergude01
T.J. Ford,"Oct 31, '03, MIL @ IND",20,1,55,1472,153,398,5,21,80,98,37,177,356,60,3,139,123,391,0.384,0.238,0.816,26.8,7.1,3.2,6.5,2004,fordtj01
Richie Frahm,"Oct 30, '03, SEA vs. LAC",26,1,54,469,63,139,34,92,23,26,12,56,24,16,4,7,50,183,0.453,0.37,0.885,8.7,3.4,1.0,0.4,2004,frahmri01
Hiram Fuller,"Feb 27, '04, ATL @ DET",22,1,4,43,3,8,0,0,2,6,4,11,2,0,1,4,5,8,0.375,,0.333,10.8,2.0,2.8,0.5,2004,fullehi01
Reece Gaines,"Oct 29, '03, ORL @ NYK",23,1,38,364,25,86,3,10,16,25,8,39,40,11,2,18,22,69,0.291,0.3,0.64,9.6,1.8,1.0,1.1,2004,gainere01
Alex Garcia,"Jan 5, '04, SAS @ DEN",23,1,2,13,1,7,0,0,1,2,0,0,0,2,0,1,0,3,0.143,,0.5,6.5,1.5,0.0,0.0,2004,garcial01
Willie Green,"Oct 28, '03, PHI vs. MIA",22,1,53,767,143,357,19,61,59,81,16,65,53,26,5,59,83,364,0.401,0.311,0.728,14.5,6.9,1.2,1.0,2004,greenwi01
Ben Handlogten,"Oct 29, '03, UTA vs. POR",30,1,17,172,25,47,0,0,18,27,22,55,6,3,4,10,32,68,0.532,,0.667,10.1,4.0,3.2,0.4,2004,handlbe01
Travis Hansen,"Nov 5, '03, ATL @ GSW",25,1,41,507,46,130,9,30,22,27,30,70,19,10,9,15,67,123,0.354,0.3,0.815,12.4,3.0,1.7,0.5,2004,hansetr01
Udonis Haslem,"Oct 28, '03, MIA @ PHI",23,1,75,1795,205,447,0,3,140,183,189,473,51,33,24,74,197,550,0.459,0.0,0.765,23.9,7.3,6.3,0.7,2004,hasleud01
Jarvis Hayes,"Oct 29, '03, WAS @ CHI",22,1,70,2044,278,695,40,131,77,98,71,264,106,71,11,110,157,673,0.4,0.305,0.786,29.2,9.6,3.8,1.5,2004,hayesja01
Kirk Hinrich,"Nov 7, '03, CHI vs. PHI",23,1,76,2706,318,823,144,369,135,168,42,259,517,101,21,204,276,915,0.386,0.39,0.804,35.6,12.0,3.4,6.8,2004,hinriki01
Josh Howard,"Oct 28, '03, DAL @ LAL",23,1,67,1589,229,532,20,66,97,138,149,368,97,69,54,67,168,575,0.43,0.303,0.703,23.7,8.6,5.5,1.4,2004,howarjo01
Brandon Hunter,"Jan 9, '04, BOS vs. CLE",23,1,36,406,53,116,0,3,19,43,50,118,19,13,1,22,40,125,0.457,0.0,0.442,11.3,3.5,3.3,0.5,2004,huntebr01
LeBron James,"Oct 29, '03, CLE @ SAC",19,1,79,3122,622,1492,63,217,347,460,99,432,465,130,58,273,149,1654,0.417,0.29,0.754,39.5,20.9,5.5,5.9,2004,jamesle01
Britton Johnsen,"Oct 29, '03, ORL @ NYK",24,1,20,290,17,59,1,12,7,16,15,45,12,7,1,14,28,42,0.288,0.083,0.438,14.5,2.1,2.3,0.6,2004,johnsbr01
Linton Johnson,"Nov 7, '03, CHI vs. PHI",23,1,41,734,72,203,7,33,22,37,59,183,27,37,32,37,90,173,0.355,0.212,0.595,17.9,4.2,4.5,0.7,2004,johnsli01
Dahntay Jones,"Nov 21, '03, MEM @ SEA",23,1,20,154,15,53,1,4,5,11,7,23,12,5,6,12,23,36,0.283,0.25,0.455,7.7,1.8,1.2,0.6,2004,jonesda02
James Jones,"Dec 26, '03, IND @ MIL",23,1,6,26,2,9,1,4,2,2,0,2,0,1,0,0,1,7,0.222,0.25,1.0,4.3,1.2,0.3,0.0,2004,jonesja02
Chris Kaman,"Oct 30, '03, LAC @ SEA",21,1,82,1843,200,435,0,2,99,142,126,461,85,23,73,155,211,499,0.46,0.0,0.697,22.5,6.1,5.6,1.0,2004,kamanch01
Jason Kapono,"Oct 30, '03, CLE @ PHO",22,1,41,427,52,129,21,44,20,24,19,55,14,13,2,21,41,145,0.403,0.477,0.833,10.4,3.5,1.3,0.3,2004,kaponja01
Kyle Korver,"Oct 28, '03, PHI vs. MIA",22,1,74,882,115,327,81,207,19,24,30,111,40,25,8,41,102,330,0.352,0.391,0.792,11.9,4.5,1.5,0.5,2004,korveky01
Maciej Lampe,"Jan 23, '04, PHO vs. SAS",18,1,21,224,43,88,0,4,10,13,9,44,9,3,3,15,28,96,0.489,0.0,0.769,10.7,4.6,2.1,0.4,2004,lampema01
Raül López,"Oct 29, '03, UTA vs. POR",23,1,82,1617,223,517,25,85,101,117,24,155,305,62,2,174,200,572,0.431,0.294,0.863,19.7,7.0,1.9,3.7,2004,lopezra01
Keith McLeod,"Oct 29, '03, MIN vs. MIL",24,1,33,391,27,82,1,10,33,43,5,34,59,16,1,29,39,88,0.329,0.1,0.767,11.8,2.7,1.0,1.8,2004,mcleoke01
Darko Miličić,"Oct 31, '03, DET @ MIA",18,1,34,159,17,65,0,1,14,24,11,43,7,7,15,13,33,48,0.262,0.0,0.583,4.7,1.4,1.3,0.2,2004,milicda01
Travis Outlaw,"Nov 15, '03, POR @ NOH",19,1,8,19,3,7,0,0,2,4,2,4,1,1,0,1,1,8,0.429,,0.5,2.4,1.0,0.5,0.1,2004,outlatr01
Zaza Pachulia,"Nov 5, '03, ORL vs. CHI",19,1,59,664,68,175,0,0,58,90,69,174,13,21,12,34,87,194,0.389,,0.644,11.3,3.3,2.9,0.2,2004,pachuza01
Sasha Pavlović,"Oct 29, '03, UTA vs. POR",20,1,79,1144,149,376,19,70,65,84,44,159,60,41,16,67,187,382,0.396,0.271,0.774,14.5,4.8,2.0,0.8,2004,pavloal01
Desmond Penigar,"Feb 20, '04, ORL vs. DEN",22,1,10,89,14,28,0,0,4,4,6,24,3,2,2,6,14,32,0.5,,1.0,8.9,3.2,2.4,0.3,2004,penigde01
Kirk Penney,"Nov 3, '03, MIA @ DAL",23,1,2,18,1,6,1,3,0,0,0,1,1,1,0,3,1,3,0.167,0.333,,9.0,1.5,0.5,0.5,2004,penneki01
Kendrick Perkins,"Dec 13, '03, BOS @ CLE",19,1,10,35,8,15,0,0,6,9,5,14,3,0,2,5,6,22,0.533,,0.667,3.5,2.2,1.4,0.3,2004,perkike01
Mickaël Piétrus,"Oct 29, '03, GSW vs. DAL",21,1,53,748,96,231,35,105,52,75,48,119,27,32,12,40,100,279,0.416,0.333,0.693,14.1,5.3,2.2,0.5,2004,pietrmi01
Zoran Planinić,"Oct 31, '03, NJN vs. MIN",21,1,49,473,53,129,9,32,38,60,14,55,68,13,3,36,70,153,0.411,0.281,0.633,9.7,3.1,1.1,1.4,2004,planizo01
Luke Ridnour,"Oct 30, '03, SEA vs. LAC",22,1,69,1114,145,350,27,80,65,79,35,108,163,52,7,80,105,382,0.414,0.338,0.823,16.1,5.5,1.6,2.4,2004,ridnolu01
Theron Smith,"Nov 8, '03, MEM @ UTA",23,1,20,178,16,43,6,12,6,8,13,41,7,5,5,14,18,44,0.372,0.5,0.75,8.9,2.2,2.1,0.4,2004,smithth01
Darius Songaila,"Oct 29, '03, SAC vs. CLE",25,1,73,976,133,273,0,0,71,88,91,225,48,42,12,43,126,337,0.487,,0.807,13.4,4.6,3.1,0.7,2004,songada01
Mike Sweetney,"Oct 29, '03, NYK vs. ORL",21,1,42,494,69,140,0,1,42,58,68,157,14,18,12,32,57,180,0.493,0.0,0.724,11.8,4.3,3.7,0.3,2004,sweetmi01
Ime Udoka,"Jan 14, '04, LAL vs. DEN",26,1,4,28,3,9,0,1,2,4,1,5,2,2,1,3,3,8,0.333,0.0,0.5,7.0,2.0,1.3,0.5,2004,udokaim01
Slavko Vraneš,"Jan 8, '04, POR @ MIN",21,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,,,3.0,0.0,0.0,0.0,2004,vranesl01
Dwyane Wade,"Oct 28, '03, MIA @ PHI",22,1,61,2126,371,798,16,53,233,312,85,247,275,86,34,196,140,991,0.465,0.302,0.747,34.9,16.2,4.0,4.5,2004,wadedw01
Luke Walton,"Oct 28, '03, LAL vs. DAL",23,1,72,730,65,153,13,39,31,44,39,127,113,28,8,44,70,174,0.425,0.333,0.705,10.1,2.4,1.8,1.6,2004,waltolu01
David West,"Oct 29, '03, NOH vs. ATL",23,1,71,930,108,228,0,2,57,80,117,297,60,27,28,48,117,273,0.474,0.0,0.713,13.1,3.8,4.2,0.8,2004,westda01
Mo Williams,"Nov 1, '03, UTA @ DAL",21,1,57,772,115,303,10,39,44,56,23,72,76,28,2,51,87,284,0.38,0.256,0.786,13.5,5.0,1.3,1.3,2004,willima01
Tony Allen,"Nov 3, '04, BOS vs. PHI",23,1,77,1262,184,387,12,31,112,152,85,221,64,76,24,77,156,492,0.475,0.387,0.737,16.4,6.4,2.9,0.8,2005,allento01
Rafael Araújo,"Nov 3, '04, TOR vs. HOU",24,1,59,736,76,175,1,3,43,55,59,185,16,21,8,52,157,196,0.434,0.333,0.782,12.5,3.3,3.1,0.3,2005,araujra01
Trevor Ariza,"Nov 3, '04, NYK @ MIN",19,1,80,1382,172,389,3,13,121,174,89,242,85,70,18,73,150,468,0.442,0.231,0.695,17.3,5.9,3.0,1.1,2005,arizatr01
Maurice Baker,"Feb 23, '05, LAC @ PHO",25,1,5,19,0,1,0,0,0,0,1,2,1,1,0,1,3,0,0.0,,,3.8,0.0,0.4,0.2,2005,bakerma01
Andre Barrett,"Nov 23, '04, HOU @ SAC",22,1,38,483,45,124,14,52,14,19,11,40,69,19,1,27,51,118,0.363,0.269,0.737,12.7,3.1,1.1,1.8,2005,barrean01
Andris Biedriņš,"Nov 5, '04, GSW vs. UTA",18,1,30,384,45,78,0,1,19,40,47,118,12,12,24,12,87,109,0.577,0.0,0.475,12.8,3.6,3.9,0.4,2005,biedran01
Tony Bobbitt,"Jan 25, '05, LAL vs. SEA",25,1,2,12,2,5,1,2,0,0,0,3,0,0,0,0,1,5,0.4,0.5,,6.0,2.5,1.5,0.0,2005,bobbito01
Matt Bonner,"Nov 3, '04, TOR vs. HOU",24,1,82,1553,247,463,39,92,56,71,108,285,48,39,19,40,220,589,0.533,0.424,0.789,18.9,7.2,3.5,0.6,2005,bonnema01
Antonio Burks,"Dec 7, '04, MEM vs. NYK",24,1,24,219,28,60,3,11,14,19,1,12,28,13,1,12,25,73,0.467,0.273,0.737,9.1,3.0,0.5,1.2,2005,burksan01
Jackie Butler,"Mar 21, '05, NYK vs. SAS",19,1,3,5,4,4,0,0,2,2,0,0,0,1,0,1,0,10,1.0,,1.0,1.7,3.3,0.0,0.0,2005,butleja01
Geno Carlisle,"Nov 17, '04, POR vs. MEM",28,1,6,16,2,3,0,0,4,6,1,1,1,0,0,1,1,8,0.667,,0.667,2.7,1.3,0.2,0.2,2005,carlige01
Lionel Chalmers,"Nov 3, '04, LAC vs. SEA",24,1,36,433,42,125,12,49,15,24,4,31,51,13,0,24,30,111,0.336,0.245,0.625,12.0,3.1,0.9,1.4,2005,chalmli01
Josh Childress,"Nov 3, '04, ATL @ PHO",21,1,80,2376,302,642,13,56,190,231,195,482,151,74,35,106,184,807,0.47,0.232,0.823,29.7,10.1,6.0,1.9,2005,childjo01
Nick Collison,"Nov 3, '04, SEA @ LAC",24,1,82,1396,190,354,0,3,83,118,156,376,32,34,50,62,252,463,0.537,0.0,0.703,17.0,5.6,4.6,0.4,2005,collini01
Erik Daniels,"Nov 9, '04, SAC vs. TOR",22,1,21,72,6,18,1,2,0,0,7,18,4,2,0,6,7,13,0.333,0.5,,3.4,0.6,0.9,0.2,2005,danieer01
Carlos Delfino,"Nov 2, '04, DET vs. HOU",22,1,30,459,42,117,9,35,23,40,13,55,38,22,6,23,44,116,0.359,0.257,0.575,15.3,3.9,1.8,1.3,2005,delfica01
Luol Deng,"Nov 5, '04, CHI vs. NJN",19,1,61,1663,280,645,31,117,120,162,92,322,135,48,27,118,98,711,0.434,0.265,0.741,27.3,11.7,5.3,2.2,2005,denglu01
Chris Duhon,"Nov 5, '04, CHI vs. NJN",22,1,82,2177,172,488,94,265,49,67,23,213,398,82,3,119,205,487,0.352,0.355,0.731,26.5,5.9,2.6,4.9,2005,duhonch01
Corsley Edwards,"Dec 4, '04, NOH vs. DET",25,1,10,110,10,31,0,0,7,12,12,25,3,3,4,2,19,27,0.323,,0.583,11.0,2.7,2.5,0.3,2005,edwarco01
John Edwards,"Nov 6, '04, IND vs. CHI",23,1,25,139,11,30,0,0,7,14,8,19,3,3,4,8,12,29,0.367,,0.5,5.6,1.2,0.8,0.1,2005,edwarjo01
Andre Emmett,"Jan 14, '05, MEM @ CHA",22,1,8,28,2,6,0,0,3,5,0,2,0,0,0,1,4,7,0.333,,0.6,3.5,0.9,0.3,0.0,2005,emmetan01
Luis Flores,"Dec 15, '04, GSW @ NOH",23,1,16,77,14,29,5,10,2,2,1,3,11,2,0,11,9,35,0.483,0.5,1.0,4.8,2.2,0.2,0.7,2005,florelu01
Matt Freije,"Nov 20, '04, NOH vs. MIN",23,1,23,441,37,127,14,54,5,8,16,61,20,13,2,17,40,93,0.291,0.259,0.625,19.2,4.0,2.7,0.9,2005,freijma01
Ben Gordon,"Nov 5, '04, CHI vs. NJN",21,1,82,2002,434,1056,134,331,233,270,55,215,164,53,10,186,224,1235,0.411,0.405,0.863,24.4,15.1,2.6,2.0,2005,gordobe01
Devin Harris,"Nov 2, '04, DAL vs. SAC",21,1,76,1173,157,366,44,131,78,103,28,102,169,77,19,82,139,436,0.429,0.336,0.757,15.4,5.7,1.3,2.2,2005,harride01
David Harrison,"Nov 3, '04, IND @ CLE",22,1,43,760,106,184,0,0,52,91,48,135,13,16,55,53,134,264,0.576,,0.571,17.7,6.1,3.1,0.3,2005,harrida01
Dwight Howard,"Nov 3, '04, ORL vs. MIL",19,1,82,2670,352,677,0,2,277,413,287,823,75,77,136,165,232,981,0.52,0.0,0.671,32.6,12.0,10.0,0.9,2005,howardw01
Kris Humphries,"Nov 3, '04, UTA vs. LAL",19,1,67,873,116,287,2,6,44,101,73,197,43,25,18,52,96,278,0.404,0.333,0.436,13.0,4.1,2.9,0.6,2005,humphkr01
Andre Iguodala,"Nov 3, '04, PHI @ BOS",21,1,82,2686,269,546,47,142,156,210,89,464,246,138,48,139,204,741,0.493,0.331,0.743,32.8,9.0,5.7,3.0,2005,iguodan01
D.J. Mbenga,"Nov 6, '04, DAL vs. MEM",24,1,15,58,6,14,0,0,3,4,3,8,0,0,5,5,13,15,0.429,,0.75,3.9,1.0,0.5,0.0,2005,mbengdj01
Royal Ivey,"Nov 3, '04, ATL @ PHO",23,1,62,809,85,198,3,9,47,67,19,84,103,39,7,58,140,220,0.429,0.333,0.701,13.0,3.5,1.4,1.7,2005,iveyro01
Luke Jackson,"Nov 6, '04, CLE @ MIL",23,1,10,43,10,27,4,6,5,6,2,6,3,0,0,2,4,29,0.37,0.667,0.833,4.3,2.9,0.6,0.3,2005,jackslu02
Al Jefferson,"Nov 3, '04, BOS vs. PHI",20,1,71,1051,195,369,0,3,85,135,119,312,24,22,55,66,195,475,0.528,0.0,0.63,14.8,6.7,4.4,0.3,2005,jeffeal01
Horace Jenkins,"Dec 3, '04, DET @ SAS",30,1,15,104,15,45,0,9,12,13,3,9,9,5,1,7,6,42,0.333,0.0,0.923,6.9,2.8,0.6,0.6,2005,jenkiho01
Mark Jones,"Mar 24, '05, ORL vs. CHA",29,1,10,116,9,31,0,4,5,10,6,13,6,5,2,3,16,23,0.29,0.0,0.5,11.6,2.3,1.3,0.6,2005,jonesma03
Mario Kasun,"Nov 12, '04, ORL vs. LAL",24,1,45,356,47,98,0,1,24,43,52,128,8,8,13,26,86,118,0.48,0.0,0.558,7.9,2.6,2.8,0.2,2005,kasunma01
Viktor Khryapa,"Feb 1, '05, POR @ LAL",22,1,32,523,54,124,4,11,23,42,28,108,25,20,18,33,80,135,0.435,0.364,0.548,16.3,4.2,3.4,0.8,2005,khryavi01
Brandin Knight,"Jan 17, '05, HOU @ MEM",23,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,,,3.0,0.0,0.0,1.0,2005,knighbr02
Nenad Krstić,"Nov 3, '04, NJN vs. MIA",21,1,75,1965,281,570,0,2,185,255,161,401,77,32,63,112,280,747,0.493,0.0,0.725,26.2,10.0,5.3,1.0,2005,krstine01
Ibo Kutluay,"Dec 22, '04, SEA vs. DEN",30,1,5,12,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0.0,,,2.4,0.0,0.2,0.0,2005,kutluib01
Shaun Livingston,"Nov 3, '04, LAC vs. SEA",19,1,30,814,89,215,0,2,44,59,22,89,151,32,11,75,82,222,0.414,0.0,0.746,27.1,7.4,3.0,5.0,2005,livinsh01
Kevin Martin,"Nov 2, '04, SAC @ DAL",21,1,45,455,45,117,5,25,36,55,29,58,22,16,3,24,35,131,0.385,0.2,0.655,10.1,2.9,1.3,0.5,2005,martike02
Jameer Nelson,"Nov 3, '04, ORL vs. MIL",22,1,79,1612,286,628,44,141,73,107,52,193,237,78,3,117,199,689,0.455,0.312,0.682,20.4,8.7,2.4,3.0,2005,nelsoja01
Andrés Nocioni,"Nov 5, '04, CHI vs. NJN",25,1,81,1892,241,601,25,97,170,222,69,386,122,37,34,135,208,677,0.401,0.258,0.766,23.4,8.4,4.8,1.5,2005,nocioan01
Emeka Okafor,"Nov 4, '04, CHA vs. WAS",22,1,73,2600,448,1003,0,1,209,343,275,795,64,62,125,125,214,1105,0.447,0.0,0.609,35.6,15.1,10.9,0.9,2005,okafoem01
Pavel Podkolzin,"Mar 19, '05, DAL vs. CHA",20,1,5,10,0,0,0,0,1,2,0,2,0,0,0,2,4,1,,,0.5,2.0,0.2,0.4,0.0,2005,podkopa01
Peter John Ramos,"Nov 3, '04, WAS @ MEM",19,1,6,20,5,10,0,0,1,2,1,4,0,0,1,3,4,11,0.5,,0.5,3.3,1.8,0.7,0.0,2005,ramospe01
Justin Reed,"Nov 23, '04, BOS @ IND",23,1,23,121,15,29,0,3,11,15,8,16,10,3,1,5,12,41,0.517,0.0,0.733,5.3,1.8,0.7,0.4,2005,reedju01
Jared Reiner,"Nov 5, '04, CHI vs. NJN",22,1,19,132,10,30,0,0,1,4,13,38,1,3,7,9,35,21,0.333,,0.25,6.9,1.1,2.0,0.1,2005,reineja01
Bernard Robinson,"Nov 4, '04, CHA vs. WAS",24,1,31,328,36,81,3,8,18,26,14,48,30,11,4,20,42,93,0.444,0.375,0.692,10.6,3.0,1.5,1.0,2005,robinbe01
Quinton Ross,"Nov 5, '04, LAC @ POR",23,1,78,1659,161,373,1,4,74,110,59,210,109,51,22,54,165,397,0.432,0.25,0.673,21.3,5.1,2.7,1.4,2005,rossqu01
Ha Seung-Jin,"Jan 7, '05, POR vs. MIA",19,1,19,104,10,23,0,0,6,11,6,18,2,1,5,12,21,26,0.435,,0.545,5.5,1.4,0.9,0.1,2005,seungha01
Donta Smith,"Nov 26, '04, ATL vs. ORL",21,1,38,433,44,113,6,22,33,48,19,52,39,23,5,25,50,127,0.389,0.273,0.688,11.4,3.3,1.4,1.0,2005,smithdo04
J.R. Smith,"Nov 3, '04, NOH vs. DAL",19,1,76,1859,295,748,81,281,111,161,39,152,142,55,11,109,135,782,0.394,0.288,0.689,24.5,10.3,2.0,1.9,2005,smithjr01
Josh Smith,"Nov 3, '04, ATL @ PHO",19,1,74,2050,274,602,4,23,163,237,147,457,127,59,144,135,157,715,0.455,0.174,0.688,27.7,9.7,6.2,1.7,2005,smithjo03
Kirk Snyder,"Nov 3, '04, UTA vs. LAL",21,1,68,906,122,328,30,85,64,96,50,121,36,26,19,58,116,338,0.372,0.353,0.667,13.3,5.0,1.8,0.5,2005,snydeki01
Pape Sow,"Nov 13, '04, TOR @ POR",23,1,27,255,23,58,0,0,16,27,18,57,2,12,4,10,46,62,0.397,,0.593,9.4,2.3,2.1,0.1,2005,sowpa01
Awvee Storey,"Nov 13, '04, NJN vs. DAL",27,1,9,32,3,10,1,2,1,2,4,5,1,0,0,0,3,8,0.3,0.5,0.5,3.6,0.9,0.6,0.1,2005,storeaw01
Robert Swift,"Nov 3, '04, SEA @ LAC",19,1,16,72,5,11,0,0,5,9,1,5,2,1,7,4,16,15,0.455,,0.556,4.5,0.9,0.3,0.1,2005,swiftro01
Yuta Tabuse,"Nov 3, '04, PHO vs. ATL",24,1,4,17,1,6,1,1,4,4,2,4,3,0,0,1,1,7,0.167,1.0,1.0,4.3,1.8,1.0,0.8,2005,tabusyu01
Sebastian Telfair,"Nov 5, '04, POR vs. LAC",19,1,68,1330,169,430,17,69,105,133,10,104,224,35,4,125,120,460,0.393,0.246,0.789,19.6,6.8,1.5,3.3,2005,telfase01
Billy Thomas,"Jan 21, '05, NJN vs. BOS",29,1,25,356,34,94,17,56,7,9,7,36,17,14,1,9,29,92,0.362,0.304,0.778,14.2,3.7,1.4,0.7,2005,thomabi01
James Thomas,"Jan 9, '05, POR @ NYK",24,1,11,117,12,20,0,0,2,6,17,37,4,4,4,7,13,26,0.6,,0.333,10.6,2.4,3.4,0.4,2005,thomaja02
Beno Udrih,"Nov 3, '04, SAS vs. SAC",22,1,80,1149,173,390,58,142,67,89,16,83,150,41,10,77,96,471,0.444,0.408,0.753,14.4,5.9,1.0,1.9,2005,udrihbe01
Anderson Varejão,"Nov 4, '04, CLE @ MIA",22,1,54,863,99,193,0,2,68,127,109,257,27,41,38,26,122,266,0.513,0.0,0.535,16.0,4.9,4.8,0.5,2005,varejan01
Jackson Vroman,"Nov 3, '04, PHO vs. ATL",23,1,46,705,82,199,0,3,48,75,64,175,40,25,19,64,105,212,0.412,0.0,0.64,15.3,4.6,3.8,0.9,2005,vromaja01
Sasha Vujačić,"Nov 3, '04, LAL @ UTA",20,1,35,403,33,117,17,63,18,19,13,62,51,12,2,15,41,101,0.282,0.27,0.947,11.5,2.9,1.8,1.5,2005,vujacsa01
Delonte West,"Nov 26, '04, BOS vs. CLE",21,1,39,507,66,155,24,67,19,27,14,65,53,21,8,24,69,175,0.426,0.358,0.704,13.0,4.5,1.7,1.4,2005,westde01
Damien Wilkins,"Nov 3, '04, SEA @ LAC",25,1,29,520,73,168,16,59,21,34,29,66,26,22,10,16,55,183,0.435,0.271,0.618,17.9,6.3,2.3,0.9,2005,wilkida02
Dorell Wright,"Feb 5, '05, MIA vs. CHI",19,1,3,27,3,11,0,4,1,1,0,1,3,4,0,3,2,7,0.273,0.0,1.0,9.0,2.3,0.3,1.0,2005,wrighdo01
Alex Acker,"Feb 21, '06, DET vs. ATL",23,1,5,35,4,16,1,5,0,0,1,5,4,1,0,4,4,9,0.25,0.2,,7.0,1.8,1.0,0.8,2006,ackeral01
Alan Anderson,"Nov 12, '05, CHA @ MIA",23,1,36,564,75,181,24,58,33,41,23,70,32,11,4,32,48,207,0.414,0.414,0.805,15.7,5.8,1.9,0.9,2006,anderal01
Martynas Andriuškevičius,"Jan 5, '06, CLE vs. HOU",19,1,6,9,0,1,0,0,0,0,1,4,0,2,0,0,1,0,0.0,,,1.5,0.0,0.7,0.0,2006,andrima01
Earl Barron,"Nov 2, '05, MIA @ MEM",24,1,8,45,5,16,0,0,3,4,2,10,0,0,0,5,10,13,0.313,,0.75,5.6,1.6,1.3,0.0,2006,barroea01
