Date,assists,assistsTurnoverRatio,benchPoints,biggestLead,biggestLeadScore,biggestScoringRun,biggestScoringRunScore,blocks,blocksReceived,fastBreakPointsAttempted,fastBreakPointsMade,fastBreakPointsPercentage,fieldGoalsAttempted,fieldGoalsEffectiveAdjusted,fieldGoalsMade,fieldGoalsPercentage,foulsOffensive,foulsDrawn,foulsPersonal,foulsTeam,foulsTechnical,foulsTeamTechnical,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,leadChanges,minutes,minutesCalculated,points,pointsAgainst,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsInThePaintAttempted,pointsInThePaintMade,pointsInThePaintPercentage,pointsSecondChance,reboundsDefensive,reboundsOffensive,reboundsPersonal,reboundsTeam,reboundsTeamDefensive,reboundsTeamOffensive,reboundsTotal,secondChancePointsAttempted,secondChancePointsMade,secondChancePointsPercentage,steals,threePointersAttempted,threePointersMade,threePointersPercentage,timeLeading,timesTied,trueShootingAttempts,trueShootingPercentage,turnovers,turnoversTeam,turnoversTotal,twoPointersAttempted,twoPointersMade,twoPointersPercentage,Home/Away,Game ID
2022-10-19T20:00:00-04:00,26.0,1.73333333333333,43.0,35.0,125-90,16.0,101-75,10.0,8.0,16.0,7.0,0.4375,94.0,0.579787234042553,48.0,0.5106382978723399,5.0,19.0,20.0,15.0,0.0,0.0,23.0,20.0,0.869565217391304,0.0,PT240M00.00S,PT240M,129.0,102.0,15.0,25.0,54.0,52.0,27.0,0.5192307692307689,15.0,37.0,14.0,51.0,9.0,6.0,3.0,60.0,13.0,5.0,0.384615384615385,7.0,29.0,13.0,0.44827586206896597,PT47M28.00S,1.0,104.12,0.619477525931617,15.0,0.0,15.0,65.0,35.0,0.538461538461538,Away,0022200011
2022-10-19T20:00:00-04:00,22.0,1.46666666666667,39.0,0.0,125-90,16.0,101-75,8.0,10.0,9.0,3.0,0.333333333333333,99.0,0.439393939393939,40.0,0.40404040404040403,2.0,20.0,19.0,17.0,0.0,0.0,21.0,15.0,0.714285714285714,0.0,PT240M00.00S,PT240M,102.0,129.0,10.0,22.0,58.0,54.0,29.0,0.537037037037037,12.0,30.0,14.0,44.0,10.0,2.0,8.0,54.0,16.0,6.0,0.375,8.0,34.0,7.0,0.205882352941176,PT00M00.00S,1.0,108.24,0.47117516629711803,15.0,0.0,15.0,65.0,33.0,0.507692307692308,Home,0022200011
2022-10-19T21:00:00-04:00,21.0,1.0,24.0,5.0,9-4,14.0,30-51,3.0,1.0,10.0,9.0,0.9,83.0,0.512048192771084,40.0,0.481927710843374,4.0,21.0,23.0,19.0,0.0,0.0,18.0,17.0,0.944444444444444,1.0,PT240M00.00S,PT240M,102.0,123.0,19.0,25.0,68.0,53.0,34.0,0.641509433962264,10.0,25.0,10.0,35.0,2.0,1.0,1.0,37.0,9.0,4.0,0.444444444444444,10.0,22.0,5.0,0.22727272727272702,PT03M38.00S,1.0,90.92,0.560932688077431,21.0,0.0,21.0,61.0,35.0,0.573770491803279,Away,0022200012
2022-10-19T21:00:00-04:00,27.0,1.35,68.0,24.0,44-68,14.0,30-51,1.0,3.0,8.0,4.0,0.5,83.0,0.602409638554217,42.0,0.506024096385542,4.0,23.0,21.0,17.0,1.0,1.0,31.0,23.0,0.741935483870968,1.0,PT240M00.00S,PT240M,123.0,102.0,10.0,34.0,42.0,38.0,21.0,0.552631578947368,26.0,32.0,11.0,43.0,13.0,1.0,12.0,56.0,13.0,9.0,0.692307692307692,10.0,38.0,16.0,0.42105263157894696,PT43M48.00S,1.0,96.64,0.636382450331126,19.0,1.0,20.0,45.0,26.0,0.577777777777778,Home,0022200012
2022-10-19T22:00:00-04:00,17.0,1.41666666666667,37.0,22.0,67-45,11.0,88-76,4.0,5.0,6.0,3.0,0.5,75.0,0.56,35.0,0.466666666666667,1.0,29.0,22.0,21.0,1.0,1.0,34.0,21.0,0.617647058823529,4.0,PT240M00.00S,PT240M,105.0,107.0,9.0,14.0,36.0,33.0,18.0,0.545454545454545,9.0,35.0,5.0,40.0,12.0,0.0,12.0,52.0,6.0,4.0,0.666666666666666,6.0,35.0,14.0,0.4,PT41M00.00S,5.0,89.96,0.583592707870164,12.0,0.0,12.0,40.0,21.0,0.525,Away,0022200013
2022-10-19T22:00:00-04:00,25.0,2.08333333333333,27.0,5.0,100-105,11.0,100-105,5.0,4.0,8.0,4.0,0.5,85.0,0.517647058823529,40.0,0.470588235294118,4.0,22.0,29.0,25.0,0.0,1.0,22.0,19.0,0.863636363636364,4.0,PT240M00.00S,PT240M,107.0,105.0,9.0,18.0,56.0,48.0,28.0,0.583333333333333,13.0,32.0,8.0,40.0,9.0,4.0,5.0,49.0,10.0,6.0,0.6,4.0,22.0,8.0,0.36363636363636404,PT03M41.99S,5.0,94.68,0.5650612589776091,12.0,0.0,12.0,63.0,32.0,0.507936507936508,Home,0022200013
2022-10-19T22:00:00-04:00,20.0,1.81818181818182,23.0,14.0,43-29,11.0,15-11,2.0,5.0,13.0,7.0,0.538461538461538,88.0,0.505681818181818,39.0,0.443181818181818,1.0,25.0,17.0,16.0,0.0,0.0,33.0,26.0,0.787878787878788,9.0,PT240M00.00S,PT240M,115.0,108.0,20.0,18.0,56.0,53.0,28.0,0.528301886792453,19.0,33.0,11.0,44.0,9.0,3.0,6.0,53.0,11.0,8.0,0.7272727272727271,11.0,28.0,11.0,0.392857142857143,PT20M57.04S,7.0,102.52,0.560866172454155,11.0,0.0,11.0,60.0,28.0,0.466666666666667,Away,0022200014
2022-10-19T22:00:00-04:00,27.0,1.6875,30.0,10.0,53-63,11.0,15-11,5.0,2.0,14.0,7.0,0.5,85.0,0.558823529411765,39.0,0.458823529411765,1.0,17.0,25.0,24.0,1.0,0.0,19.0,13.0,0.68421052631579,9.0,PT240M00.00S,PT240M,108.0,115.0,19.0,17.0,38.0,35.0,19.0,0.542857142857143,16.0,37.0,4.0,41.0,14.0,2.0,12.0,55.0,8.0,7.0,0.875,8.0,44.0,17.0,0.38636363636363596,PT21M50.00S,7.0,93.36,0.57840616966581,15.0,1.0,16.0,41.0,22.0,0.536585365853659,Home,0022200014
2022-10-20T19:30:00-04:00,24.0,1.71428571428571,29.0,13.0,78-65,11.0,80-78,6.0,5.0,7.0,7.0,1.0,84.0,0.482142857142857,34.0,0.40476190476190504,2.0,14.0,16.0,14.0,0.0,0.0,14.0,9.0,0.642857142857143,3.0,PT240M00.00S,PT240M,90.0,88.0,17.0,12.0,30.0,27.0,15.0,0.555555555555556,7.0,41.0,7.0,48.0,8.0,1.0,7.0,56.0,8.0,3.0,0.375,4.0,42.0,13.0,0.30952380952381,PT40M50.07S,7.0,90.16,0.499112688553682,12.0,2.0,14.0,42.0,21.0,0.5,Away,0022200015
2022-10-20T19:30:00-04:00,17.0,1.7,13.0,2.0,0-2,13.0,80-80,5.0,6.0,7.0,7.0,1.0,83.0,0.463855421686747,36.0,0.433734939759036,2.0,16.0,14.0,12.0,0.0,1.0,13.0,11.0,0.846153846153846,3.0,PT240M00.00S,PT240M,88.0,90.0,14.0,13.0,46.0,47.0,23.0,0.48936170212766,5.0,38.0,6.0,44.0,4.0,3.0,1.0,48.0,6.0,2.0,0.333333333333333,6.0,24.0,5.0,0.208333333333333,PT01M09.02S,7.0,88.72,0.495942290351668,10.0,0.0,10.0,59.0,31.0,0.525423728813559,Home,0022200015
